Description,Brand,ABC,annual_demand,unit_cost,EOQ,orders_per_year,avg_lead_days,safety_stock,reorder_point,total_inv_cost
Hendrick's Gin,3238,A,1312,22.83,170,7.7,7.753364859949072,111,139,773.99
DeKuyper Peachtree Schnapps,5096,A,1312,7.99,287,4.6,7.498982706002034,107,134,457.88
Franzia Tap Cab Svgn,6918,A,1312,10.95,245,5.4,7.641816920943135,95,122,536.03
Barefoot Bubbly Brut Cve,31487,A,1307,5.29,351,3.7,7.622043010752688,106,133,371.86
Jenkins Gin,3326,A,1305,7.36,298,4.4,7.791429820725842,97,125,438.29
R Mondavi Chard Pvt Sel,8329,A,1305,4.68,373,3.5,8.125984251968504,136,165,349.5
14 Hands Hot to Trot Red,14129,A,1305,6.01,329,4.0,7.56595744680851,106,133,396.06
Popov Vodka,3827,A,1283,9.28,263,4.9,7.592853992059991,81,108,487.98
Jim Beam Traveler,1379,A,1280,11.41,237,5.4,7.369269949066214,79,105,540.46
Old Crow,1396,A,1280,10.44,248,5.2,7.465307464649786,75,101,516.98
Moet & Chandon Nectar Imp Rs,42188,A,1278,34.01,137,9.3,7.4603381014304295,261,287,932.36
Cooks Brut,6960,A,1271,4.6,372,3.4,7.555633802816901,115,141,341.95
Jim Beam Apple,1962,A,1270,11.02,240,5.3,7.545706371191136,105,131,529.06
Sambuca di Amore,5367,A,1266,5.83,330,3.8,7.475947521865889,84,110,384.21
Fireball Cinn Whisky Trav,5153,A,1261,10.44,246,5.1,7.528343666961913,121,147,513.12
Estancia Chard,6647,A,1258,4.99,355,3.5,7.944151738672287,113,140,354.33
Mark West Chard Sonoma Cnty,40193,A,1256,4.83,361,3.5,7.695351137487636,116,142,348.32
Liberty School Cab Svgn,23739,A,1246,7.25,293,4.3,8.05530474040632,79,106,425.05
Ron Virgin Heavy Bodied Rum,4380,A,1241,10.84,239,5.2,7.886676875957121,143,170,518.7
Crown Royal,2436,A,1236,11.99,227,5.4,7.461406518010292,99,124,544.42
Sailor Jerry Spiced Navy Rum,4218,A,1236,12.31,224,5.5,7.747763864042934,102,128,551.64
Seaglass Svgn Bl Snt Barbara,10957,A,1233,6.12,317,3.9,7.127218934911243,97,121,388.48
Ice 101 Peppermint Schnapps,5382,A,1225,9.44,255,4.8,7.499554764024933,75,100,480.92
Bread & Butter Chard,20533,A,1225,8.55,268,4.6,7.813076923076923,118,144,457.68
Mr Boston Blackberry Brandy,4829,A,1224,9.59,253,4.8,7.541123370110331,87,112,484.52
Ciroc Snap Frost Vodka,3025,A,1223,9.29,257,4.8,7.632267441860465,209,235,476.69
Cupcake Pnt Nr,14342,A,1222,4.6,364,3.4,7.725682295311406,98,124,335.3
