Description,Brand,ABC,annual_demand,unit_cost,EOQ,orders_per_year,avg_lead_days,safety_stock,reorder_point,total_inv_cost
J & B Rare,2723,A,588,21.42,117,5.0,7.540466392318244,46,58,501.9
Wild Turkey 101,8107,A,588,26.71,105,5.6,7.462177121771218,38,50,560.46
Ch St Jean Belle Terre Chard,23229,A,587,10.34,168,3.5,7.439205955334987,57,69,348.41
Absolut Mandrin,8102,A,586,18.65,125,4.7,7.524744027303754,61,73,467.52
Bota Box Chard Cal,39356,A,585,11.56,159,3.7,7.720742817098809,34,46,367.77
The Glenlivet 12 Yr Single,8338,A,583,14.49,142,4.1,7.694763729246488,40,52,411.04
Capt Morgan White,4103,A,579,11.19,161,3.6,7.59662775616083,58,70,359.97
Sauza Blue Silver,4349,A,577,12.11,154,3.7,7.429942418426104,45,57,373.83
J Lohr Los Osos Merlot,31558,A,576,8.44,185,3.1,7.748917748917749,59,71,311.82
Guigal Cotes du Rhone Red,6873,A,572,9.2,176,3.2,7.875685557586837,47,59,324.42
UV Blue Raspberry Vodka,3464,A,570,10.06,168,3.4,7.0012422360248445,52,63,338.65
Bacardi Gold Rum,4223,A,569,14.92,138,4.1,7.687184661957619,63,75,412.06
E & J XO Brandy,4502,A,569,16.17,133,4.3,7.700520833333333,39,51,428.97
Mount Gay Eclipse,8166,A,568,15.14,137,4.1,7.664343786295006,46,58,414.72
Chopin Vodka,3679,A,567,14.49,140,4.0,7.618065433854907,47,59,405.36
DeKuyper Peppermint Schnapp,5031,A,567,11.71,156,3.6,7.659400544959128,47,59,364.41
Hpnotiq Liqueur,5165,A,566,13.33,146,3.9,7.3515625,53,64,388.45
Wild Horse CC Pnt Nr,27835,A,566,9.14,176,3.2,7.827505827505828,59,71,321.66
DeKuyper Buttershots Schnaps,5232,A,564,10.71,162,3.5,7.672918229557389,37,49,347.58
Booths London Dry Gin,3123,A,563,10.94,160,3.5,7.604078164825828,51,63,350.98
Sauza Blanco Tequila,4199,A,559,16.92,129,4.3,7.387096774193548,44,55,434.93
Silverado Cab Svgn Napa,32924,A,559,27.51,101,5.5,7.885416666666667,63,75,554.58
Chivas Regal,2646,A,556,43.3,80,7.0,7.561482820976492,41,53,693.9
Don Q Cristal Rum,4145,A,556,12.68,148,3.8,7.031830238726791,42,53,375.5
Bulleit Bourbon,8778,A,556,37.29,86,6.5,7.510376633358955,41,52,643.95
Pallini Limoncello Liqueur,5505,A,555,14.5,138,4.0,7.172463768115942,47,58,401.19
Hess Select Cab Svgn,24088,A,552,8.75,178,3.1,7.564516129032258,46,57,310.81
Almaden Mt Rhine Calif B/B,10596,A,549,9.86,167,3.3,7.721587492483463,37,49,329.03
Bombay Sapphire Gin,903,A,548,18.79,121,4.5,7.758620689655173,47,59,453.81
Summers Cab Svgn Rsv,23253,A,547,13.07,145,3.8,7.924418604651163,64,76,378.14
Tenshen Red,24766,A,546,10.27,163,3.3,9.571428571428571,88,102,334.89
Bird Dog Bourbon,2794,A,539,10.5,160,3.4,8.37719298245614,49,61,336.44
Banfi Rosa Regale,18027,A,539,9.08,172,3.1,7.662182361733931,52,63,312.86
Midori Melon Liqueur,5368,A,538,15.23,133,4.0,7.445530726256983,38,49,404.81
Pinnacle Grape Vodka,3368,A,536,12.22,148,3.6,7.306584362139918,37,48,361.94
Knob Creek Smoked Maple,8296,A,535,21.7,111,4.8,7.860991379310345,46,58,481.86
Caymus Cab Svgn Napa Vly,11214,A,534,50.33,73,7.3,7.707948243992607,70,81,733.16
Campari,8258,A,533,21.05,113,4.7,7.498847926267281,36,47,473.71
Artesa Carneros Chard,32545,A,533,10.27,161,3.3,8.175324675324676,58,70,330.87
Hiram Walker Coffee Brandy,4896,A,530,14.05,137,3.9,7.510726072607261,43,54,385.92
Carpineto Chianti Clsc RSV,38652,A,529,13.65,139,3.8,8.023668639053254,66,78,380.02
Stolichnaya Blueberi,3427,A,528,17.85,122,4.3,7.77264858626659,43,54,434.16
Jadot Pouilly Fuisse,6162,A,528,14.19,136,3.9,7.7287234042553195,54,65,387.1
Tullamore Dew,2398,A,526,16.4,127,4.1,7.837772397094431,38,49,415.37
Capt Morgan Private Stock,4268,A,526,18.25,120,4.4,7.720779220779221,47,58,438.17
Duckhorn Decoy Pnt Nr,13661,A,526,11.61,151,3.5,7.5243553008595985,92,103,349.48
Stolichnaya Vanil,3689,A,525,12.77,143,3.7,7.9034267912772584,43,54,366.18
Mumm Brut Prestige,6231,A,522,10.27,159,3.3,7.708628005657709,56,67,327.44
Josh Cellars Legacy Red,21609,A,522,9.58,165,3.2,7.79445727482679,54,65,316.25
Clos Pegase Carneros Chard,27817,A,521,10.95,154,3.4,8.443514644351465,53,65,337.79
Pinnacle Strawbry Kiwi Vodka,3385,A,514,12.97,141,3.6,7.332236842105263,37,47,365.15
Smirnoff Orange Vodka,3583,A,514,13.23,139,3.7,7.5951690821256035,34,45,368.79
Boru Original Irish Vodka,3667,A,513,13.13,140,3.7,7.524347826086957,34,45,367.03
Hennessey VS +VSOP 50mL,1024,A,512,19.99,113,4.5,7.355555555555555,99,109,452.44
Gentleman Jack,171,A,510,36.76,83,6.1,7.664959016393443,41,52,612.34
Bailey's Espresso Creme,8440,A,510,14.72,132,3.9,7.465909090909091,44,54,387.49
Smirnoff Vanilla Vodka,3396,A,507,13.73,136,3.7,7.43796835970025,36,46,373.13
Wild Turkey,8187,A,507,13.17,139,3.6,7.491566265060241,40,50,365.44
Wild Turkey 101,8387,A,502,17.45,120,4.2,7.6175710594315245,39,49,418.57
Buehler Cab Svgn Napa,24493,A,499,14.76,130,3.8,7.9763779527559056,58,69,383.8
Kendall Jackson Vntr RSV Cab,6351,A,498,11.18,149,3.3,7.116758241758242,58,68,333.7
Sonoma-Cutrer Chard RRV,26949,A,496,15.53,126,3.9,7.47316384180791,57,67,392.5
Lange Willamette Pnt Nr,41940,A,496,14.28,132,3.8,8.397849462365592,111,122,376.37
Petite Petit Phillips Lodi,46201,A,494,11.25,148,3.3,7.67612293144208,43,53,333.39
Stolichnaya Vanil,3656,A,493,19.99,111,4.4,7.979002624671916,39,50,443.96
Southern Comfort 100 Proof,5296,A,490,21.01,108,4.5,7.819322459222083,40,50,453.76
Johnnie Walker Red Label,2755,A,488,19.68,111,4.4,7.669338677354709,64,74,438.27
Artesa Carneros Pnt Nr,32546,A,486,12.58,139,3.5,8.23448275862069,66,77,349.68
Bacardi Dragon Berry Rum,4179,A,483,15.14,126,3.8,7.708551483420593,48,58,382.43
The Glenlivet 15Yr FrenchOak,2426,A,481,41.59,76,6.3,7.557817589576548,43,53,632.53
Oban 14-Yr Single Malt,1869,A,479,40.14,77,6.2,7.526170798898072,45,55,620.12
The Macallan 12 Yr Old,2520,A,476,42.21,75,6.3,7.322654462242563,39,49,633.91
Red Stag by Jim Beam,1388,A,475,19.22,111,4.3,7.366336633663367,36,46,427.31
Bogle Phantom Red Cal,41321,A,475,10.94,147,3.2,7.755047106325707,58,68,322.38
Early Times,1323,A,473,13.59,132,3.6,7.552699228791774,34,44,358.55
Black Box Pnt Nr,21019,A,472,10.66,149,3.2,7.56048166392994,28,38,317.22
Licor 43 Vanilla Liqueur,438,A,471,12.77,136,3.5,7.904191616766467,39,49,346.83
Kinky Liqueur,6499,A,471,12.68,136,3.5,7.332644628099174,45,54,345.61
Capt Morgan Long Isl Tea RTD,5058,A,470,11.93,140,3.4,7.627397260273972,40,50,334.88
Remy Martin 1738 Accord Ryl,782,A,469,35.15,82,5.7,7.553370786516854,72,82,574.21
Duggans Dew O Kirkintilloch,1734,A,469,17.45,116,4.0,7.418918918918919,35,45,404.58
Godiva Wh Chocolate Liqueur,5890,A,469,16.66,119,3.9,7.433684210526316,40,50,395.31
Tia Maria Coffee Liqueur,5396,A,464,12.14,138,3.4,7.248,33,42,335.65
Yukon Jack,8893,A,463,12.68,135,3.4,7.73019801980198,35,45,342.66
Grand Marnier,8612,A,458,45.79,71,6.5,7.702928870292887,38,48,647.64
Pravda Polish Vodka,3524,A,455,14.7,124,3.7,7.098,38,47,365.75
Silver Palm Nth Cst Cab Svgn,46934,A,455,10.31,149,3.1,7.489473684210527,53,62,306.3
MacMurray Ranch Pnt Nr RRV,36543,A,453,13.15,131,3.5,8.386206896551725,50,60,345.17
Absolut Raspberri,3584,A,452,12.49,135,3.3,7.536115569823435,41,50,336.02
Ciroc Peach Vodka,3072,A,451,18.24,111,4.1,7.618357487922705,56,65,405.62
1800 Reposado Gold Tequila,8469,A,450,16.29,118,3.8,7.076347305389222,37,46,382.9
Lagavulin Single Malt 16-Yr,1868,A,449,49.62,67,6.7,7.475945017182131,44,53,667.53
Espolon Blanco Tequila,3924,A,449,17.38,114,3.9,7.324137931034483,39,48,395.06
Hornitos Plata Tequila,3444,A,448,29.13,88,5.1,7.4795180722891565,35,44,510.89
Cabin Fever Maple Liqueur,5630,A,448,14.17,126,3.6,7.771653543307087,39,49,356.32
Absolut Spark Vodka,3811,A,445,12.68,132,3.4,8.368421052631579,100,110,335.94
Cesari Valpolicella Clsc Am,32832,A,445,20.68,104,4.3,8.88679245283019,56,67,429.01
Grand Marnier,821,A,443,27.99,89,5.0,7.505732484076433,31,40,497.99
Cabo Wabo Blanco Tequila,3818,A,441,21.73,101,4.4,7.043153526970954,40,49,437.79
Dewars Highlander Honey,2679,A,440,14.28,124,3.5,7.458333333333333,43,52,354.49
Reyka Vodka,3527,A,439,21.87,100,4.4,7.985037406483791,35,45,438.2
The Famous Grouse,1639,A,437,15.74,118,3.7,7.037267080745342,37,45,370.9
Hammer & Sickle Vodka,3209,A,437,14.07,125,3.5,8.007510729613735,39,49,350.68
Stolichnaya Blueberi,3487,A,435,12.77,131,3.3,7.749174917491749,37,46,333.32
Grey Goose Cherry Noir Vodka,3194,A,433,18.31,109,4.0,7.680555555555555,59,68,398.2
Yukon Jack,8898,A,433,18.83,107,4.0,7.6882494004796165,27,36,403.82
Svedka Clementine Vodka,3220,A,430,14.72,121,3.6,7.762921348314607,35,44,355.8
Rebel Yell,1174,A,429,15.87,116,3.7,7.6686507936507935,29,38,369.01
Capt Morgan White PET,4662,A,429,15.38,118,3.6,7.640038498556304,42,51,363.26
Crown Royal Hand Slct Barrel,2492,A,426,41.66,72,5.9,8.434782608695652,389,399,595.79
Grey Goose La Poire Vodka,3961,A,426,18.17,108,3.9,7.569131832797428,44,53,393.46
Patron XO Cafe Liqueur,984,A,425,20.63,101,4.2,8.53641456582633,41,51,418.76
Johnnie Walker Black Label,2751,A,425,15.99,115,3.7,7.544117647058823,33,42,368.67
Glenfiddich Special Rsv 12Yr,8078,A,425,14.59,121,3.5,8.096491228070175,37,46,352.16
Baileys Chocolate Cherry,8515,A,424,14.61,120,3.5,7.5,40,49,351.99
St Germain Liqueur,443,A,419,24.45,93,4.5,7.820245979186376,38,47,452.65
Ciroc Snap Frost Vodka,3513,A,415,17.98,107,3.9,7.704,39,48,386.31
Patron Silver Tequila,3788,A,414,19.99,102,4.1,8.345050878815911,50,59,406.84
Sterling Cab Svgn,8921,A,412,11.45,134,3.1,7.458928571428571,50,58,307.16
Crown Royal Maple Whisky,2476,A,410,16.79,110,3.7,7.773134328358209,41,50,371.05
Smirnoff Citrus Vodka,3820,A,404,13.33,123,3.3,7.661574618096357,30,38,328.19
Parrot Bay 90 Coconut Capt,4385,A,404,16.54,111,3.6,7.422203532380151,37,45,365.58
1800 Silver Tequila,8473,A,404,24.44,91,4.4,7.178070175438597,28,36,444.38
Glenfiddich Special Rsv 12,1921,A,401,52.71,62,6.5,7.952080706179067,40,49,650.19
W Hill Chard Napa,6569,A,401,12.98,124,3.2,7.676136363636363,51,59,322.65
Speyburn 10-Yr Single Malt,2924,A,400,17.18,108,3.7,7.485714285714286,35,43,370.73
Ciroc Pineapple Vodka,3704,A,400,18.37,104,3.8,7.730684326710817,39,47,383.36
Beefeater,3422,A,399,15.99,112,3.6,7.705738705738706,26,34,357.21
Everclear 151,1692,A,397,13.4,122,3.3,7.622920517560074,27,35,326.18
Balvenie 12 Yr Doublewood S,1956,A,395,39.99,70,5.6,7.926657263751763,37,46,562.07
Frei Bros RSV Cab Svgn Alex,34427,A,395,13.81,120,3.3,7.549425287356322,38,46,330.3
Pinnacle Vodka 100 Proof,3197,A,390,15.32,113,3.5,6.7901639344262295,22,29,345.68
Knob Creek Rye,1359,A,387,21.87,94,4.1,7.64171974522293,29,37,411.43
Ballantines,2623,A,387,18.24,103,3.8,7.617378048780488,28,36,375.74
Bombay Sapphire East Gin,3016,A,386,14.59,115,3.4,7.7612456747404845,50,58,335.61
Tullamore Dew,2374,A,385,31.24,78,4.9,8.064467766116941,35,44,490.47
Stolichnaya,3936,A,385,15.21,112,3.4,7.803757828810021,34,42,342.23
Jack Daniels Bruins Glass Pk,1060,A,383,21.7,94,4.1,6.931464174454828,52,59,407.7
Bacardi Black,4229,A,383,14.7,114,3.4,7.59877800407332,32,40,335.56
Crown Royal Nrth Harvest Rye,2468,A,380,22.39,92,4.1,7.464285714285714,34,42,412.51
Aberlour Glenlivet 12 Yr,1758,A,377,29.76,80,4.7,7.602760736196319,32,40,473.71
Carolans Irish Cream,5142,A,377,17.45,104,3.6,7.4603174603174605,30,38,362.73
Smith & Hook Lucia Cab Svgn,39691,A,375,13.79,117,3.2,7.292517006802721,39,46,321.6
Nardi Casale 08 Bosco Brunel,24665,A,374,19.3,98,3.8,8.695652173913043,82,91,379.96
Bulleit 95 Rye,1380,A,371,34.05,74,5.0,7.535714285714286,27,35,502.65
Tanqueray Rangpur Gin,3366,A,371,24.45,87,4.3,7.54524627720504,35,43,425.93
Four Roses Bourbon,2890,A,370,21.25,93,4.0,7.895777178796047,30,38,396.55
Johnnie Walker Double Black,2287,A,369,29.22,79,4.7,7.413684210526315,34,41,464.38
Veuve Clicquot Brut Yellow,19270,A,365,16.44,105,3.5,7.211895910780669,62,69,346.43
Beaulieu Cab Svgn Rutherford,8233,A,364,17.31,103,3.5,7.182291666666667,49,56,354.99
Courvoisier VSOP Cognac,4682,A,363,26.92,82,4.4,7.741935483870968,31,39,442.09
Decoy by Duckhorn Red Sonoma,42874,A,360,11.38,126,2.9,7.757847533632287,61,69,286.25
Ciroc Coconut Vodka,3352,A,359,18.79,98,3.7,7.711325966850829,35,43,367.31
1800 Coconut Tequila,8424,A,358,16.29,105,3.4,7.0014450867052025,29,36,341.52
R Mondavi Cab Svgn Napa,8892,A,354,17.0,102,3.5,7.551020408163265,46,53,346.93
The Prisoner Red Napa Valley,15229,A,352,26.11,82,4.3,7.56734693877551,45,52,428.74
St Supery Cab Svgn,21469,A,352,19.6,95,3.7,7.7366255144032925,38,45,371.46
The Macallan 10 Yr Fine Oak,2522,A,350,36.92,69,5.1,7.462264150943396,32,39,508.37
Morgan Winery Twelve Clones,31542,A,350,16.1,104,3.4,7.402912621359223,38,45,335.71
Stags Leap Artemis Cab Svgn,35464,A,349,28.44,78,4.5,7.600806451612903,45,52,445.55
Ciroc Apple Vodka,3761,A,347,34.28,71,4.9,7.370892018779343,101,108,487.75
1800 Reposado Gold Tequila,8474,A,346,24.62,84,4.1,7.245508982035928,21,28,412.76
Hennessy VS Cognac,4673,A,335,46.66,60,5.6,7.135288552507095,41,48,559.13
Silver Oak Cab Svgn Alex Vly,44547,A,333,45.15,61,5.5,8.003533568904594,54,61,548.37
Mer Soleil Chard Central Cst,41537,A,320,18.06,94,3.4,8.14396887159533,39,46,339.98
Jack Daniels Single Barrel,1237,A,317,33.83,68,4.7,7.513888888888889,36,43,463.13
Knob Creek Bourbon,1358,A,316,42.85,61,5.2,7.533969010727056,26,33,520.4
Makers 46,1382,A,310,28.56,74,4.2,7.6685236768802225,27,34,420.8
Chopin Vodka,3699,A,310,31.0,71,4.4,7.63941605839416,29,35,438.41
Perrier Jouet Grand Brut,8143,A,309,23.02,82,3.8,7.680851063829787,86,93,377.18
Elijah Craig 12 Yr Bourbon,2136,A,308,21.53,85,3.6,7.471337579617835,53,59,364.18
Hendrick's Gin,3234,A,307,45.92,58,5.3,7.847082494969819,29,36,530.99
Balvenie 14 Yr Caribean Cask,2517,A,303,46.42,57,5.3,8.059681697612731,33,40,530.38
Smirnoff Blue 100 Proof Trav,3593,A,303,21.42,84,3.6,7.463375796178344,20,26,360.29
Honig Cab Svgn Napa,25883,A,302,24.82,78,3.9,7.6647058823529415,57,63,387.19
Wild Turkey,8085,A,299,25.59,76,3.9,7.4005641748942175,21,27,391.19
Clos du Val Cab Svgn Napa,29431,A,299,19.86,87,3.4,7.819004524886878,35,41,344.62
Glenfiddich Special Rsv 12,8021,A,298,31.49,69,4.3,7.901515151515151,26,32,433.22
Woodford Reserve Bourbon,2062,A,296,44.11,58,5.1,7.474278544542033,21,27,511.01
Camarena Silver Tequila,8189,A,295,25.59,76,3.9,7.822761194029851,28,34,388.56
Knob Creek Single Barrel Rsv,1468,A,293,31.49,68,4.3,7.530952380952381,90,96,429.57
The Glenlivet Founders Res,2944,A,290,32.14,67,4.3,7.674897119341564,28,34,431.76
WhistlePig 10 Yr Old Rye,2531,A,282,46.37,55,5.1,7.355769230769231,47,53,511.4
Old Bushmills Irish Whiskey,2951,A,282,28.78,70,4.0,7.47808764940239,23,29,402.89
Maker's Mark Combo Pack,1005,A,280,27.34,72,3.9,7.709677419354839,36,42,391.29
Crown Royal Regal Apple,2494,A,280,31.0,67,4.2,7.546325878594249,25,31,416.66
Everclear 151,1961,A,275,23.91,76,3.6,7.609326424870466,25,31,362.64
Saddleback Clrs 09 Cab Svgn,23357,A,275,24.51,75,3.7,9.0,48,55,367.16
Corralejo Reposado Tequila,8144,A,273,22.38,78,3.5,8.197226502311247,25,31,349.56
Camarena Reposado Tequila,8218,A,271,23.87,75,3.6,7.653932584269663,29,35,359.69
Milagro Silver Tequila,3347,A,270,28.56,69,3.9,7.917948717948718,28,34,392.72
McClelland Highland Sgl Malt,2696,A,267,25.19,73,3.7,7.431932773109244,19,24,366.76
Blantons Sgl Barrel Bourbon,1398,A,264,40.59,57,4.6,7.27810650887574,29,34,462.94
Hess Allomi Cab Svgn,35375,A,264,19.73,82,3.2,7.964,31,37,322.76
Glenmorangie 10 Yr Scotch,2692,A,255,26.31,70,3.6,7.486156351791531,22,27,366.31
Booker's Bourbon,1239,A,254,39.99,56,4.5,7.642737896494157,25,30,450.73
Dom de Canton Ginger Liqueur,653,A,253,21.73,76,3.3,7.458937198067633,18,23,331.6
Johnnie Walker Green Label,2721,A,251,47.61,51,4.9,7.679425837320574,57,62,488.89
Monkey Shoulder Scotch,8727,A,249,23.07,73,3.4,8.036809815950921,22,27,338.96
Hennessy VSOP Cognac + 50mL,1023,A,237,35.93,57,4.2,8.25,53,58,412.7
Templeton Rye Whiskey,2366,A,237,25.36,68,3.5,8.377358490566039,24,29,346.71
Ardbeg 10 Yr Single Malt Sc,2965,A,234,34.64,58,4.0,7.417307692307692,31,36,402.64
Wild Turkey American Honey,8408,A,233,22.21,72,3.2,7.466666666666667,26,31,321.72
Michter's Small Batch Bourbn,2640,A,227,30.07,61,3.7,7.5978021978021975,20,25,369.49
Don Julio Blanco Tequila,3790,A,224,35.65,56,4.0,7.467261904761905,20,25,399.64
Cakebread Chard,12181,A,220,24.48,67,3.3,7.547344110854503,26,31,328.2
Patron Reposado Tequila,3654,A,216,39.39,52,4.2,8.686486486486487,44,49,412.52
Talisker 10-Yr Single Malt,2854,A,215,38.45,53,4.1,7.979423868312757,49,54,406.62
McClelland Islay Single Malt,2155,A,214,24.05,67,3.2,7.597585513078471,16,20,320.84
M Duffau Napoleon Armagnac,5076,A,213,28.12,62,3.4,7.253164556962025,63,67,346.12
Ketel One Citroen Vodka,3495,A,212,23.52,67,3.2,7.527027027027027,20,24,315.79
Taylor Fladgate 20-Yr Tawny,21033,A,212,26.89,63,3.4,7.4036697247706424,27,31,337.66
Jeffersons Reserve Bourbon,1271,A,211,37.59,53,4.0,7.572895277207392,26,30,398.28
Dalwhinnie 15-Yr Single Mal,2958,A,201,40.73,50,4.0,7.555900621118012,19,23,404.65
Ron Zacapa 23 Yr Old Rum,4390,A,200,33.33,55,3.6,7.4522417153996106,19,23,365.13
Banfi Brunello Montalcino,18142,A,200,40.4,50,4.0,7.651428571428571,36,40,402.0
Ch La Rousseliere St Estephe,25197,A,198,99.33,32,6.2,7.6875,2,6,627.23
Don Julio Anejo Tequila,3800,A,195,42.85,48,4.1,7.661641541038526,23,27,408.8
Cointreau Liqueur,5124,A,195,51.53,43,4.5,7.63768115942029,16,20,448.32
Four Roses Single Barrel Brb,1094,A,194,29.92,57,3.4,7.89587852494577,37,41,340.72
Redbreast Irish Whiskey,2017,A,193,44.77,46,4.2,7.568627450980392,14,18,415.72
Crown Royal Black,2496,A,190,36.22,51,3.7,7.650918635170604,16,20,371.0
Dom Perignon,8622,A,190,87.09,33,5.8,7.426294820717131,39,43,575.28
Patron Anejo Tequila,3658,A,184,41.9,47,3.9,8.586440677966102,22,26,392.67
Groth Cab Svgn Napa,36648,A,174,39.18,47,3.7,7.647058823529412,29,33,369.25
Glenfiddich 14 Yr Barrel Rsv,2125,A,171,36.76,48,3.6,8.34061135371179,14,18,354.57
Ch Montelena Cab Svgn Napa,39971,A,158,25.33,56,2.8,7.846153846153846,19,22,282.92
Glenfiddich Solera 15-Yr RS,2967,A,157,40.73,44,3.6,8.043343653250774,15,18,357.62
Moet & Chandon Brut Imprl Ro,8897,A,150,33.55,47,3.2,7.276978417266187,30,33,317.26
Woodford Reserve Double Oak,2518,A,149,36.49,45,3.3,7.302040816326531,15,18,329.76
Silver Oak Cab Svgn Napa,43362,A,148,68.93,33,4.5,7.857142857142857,51,54,451.71
WhistlePig 10 Yr Old Rye,2208,A,147,53.95,37,4.0,7.5,20,23,398.26
Hibiki Harmony Japan Whiskey,2986,A,147,51.96,38,3.9,7.931407942238267,20,23,390.87
Grey Goose Glass Pack,1330,A,146,38.27,44,3.3,8.033132530120483,39,42,334.3
The Dalmore 12Yr Single Malt,2534,A,145,35.99,45,3.2,7.679577464788732,13,16,323.07
Glenmorangie Original 10 Yr,2619,A,127,51.58,35,3.6,7.511278195488722,11,14,361.96
Johnnie Walker Platinum,3497,A,127,73.07,29,4.4,7.713855421686747,22,25,430.87
Jeffersons  Ocean Bourbon,4639,A,124,58.82,32,3.9,7.67741935483871,37,40,381.97
The Glenlivet 18 Yr Single,1896,A,115,68.83,29,4.0,8.343915343915343,12,15,397.88
Oban Distiller's Edition,1870,A,106,59.69,30,3.5,7.308411214953271,11,13,355.74
Johnnie Walker Blue Label,2767,A,103,139.7,19,5.4,7.785714285714286,10,12,536.48
Martell Cordon Bleu,4628,A,102,79.99,25,4.1,6.989473684210527,15,17,403.98
GlenDronach 15 Yr Scotch,2740,A,100,65.41,28,3.6,8.72,92,94,361.72
The Macallan Fine Oak 15 Yr,2960,A,98,69.34,27,3.6,6.868131868131868,10,12,368.7
Patron Silver Tequila,3733,A,93,83.96,24,3.9,8.3033381712627,12,14,395.25
WhistlePig Old World 12 Yr,2554,A,79,83.33,22,3.6,7.191616766467066,22,24,362.87
Don Julio 1942 Anejo Tequila,3923,A,71,106.34,18,3.9,7.611111111111111,13,14,388.63
Remy Martin XO Cognac,4528,A,67,106.86,18,3.7,7.86231884057971,11,12,378.46
Hennessy XO Cognac,4652,A,63,118.51,16,3.9,7.756613756613756,13,14,386.49
Jos Phelps Insignia 2010 Red,20132,A,63,84.76,19,3.3,7.0,19,20,326.83
The Macallan 18 Yr Old,2989,A,58,192.59,12,4.8,7.390243902439025,34,35,472.77
Johnnie Walker Blue Label,2748,A,45,240.59,10,4.5,7.415282392026578,12,13,465.59
Opus One 12,24786,A,39,159.73,11,3.5,7.583333333333333,25,26,352.98
Smirnoff Watermelon,7341,B,7895,0.75,2294,3.4,7.8825688073394495,547,718,344.13
Smirnoff Kissed Caramel,9145,B,6637,0.75,2103,3.2,7.7181146025878,438,578,315.52
Smirnoff Citrus Vodka,3607,B,6427,0.72,2113,3.0,7.7349081364829395,444,580,304.22
Baileys Espresso Creme,8606,B,5369,0.73,1918,2.8,7.61,453,565,279.98
Sauza Gold Tequila,8103,B,5317,0.77,1858,2.9,7.6220839813374806,369,480,286.15
Red Stag by Jim Beam,1366,B,5188,0.93,1670,3.1,7.672014260249554,328,437,310.64
Pinnacle Vodka,3012,B,4685,0.74,1779,2.6,7.602409638554217,276,374,263.32
Smirnoff Sorbet Rasp/Pomegra,3315,B,4409,0.74,1726,2.6,7.821649484536082,300,394,255.45
Sailor Jerry Spiced Navy Rum,4149,B,4133,1.16,1335,3.1,8.016949152542374,229,320,309.65
DeKuyper Buttershots Schnpps,5251,B,4088,0.72,1685,2.4,7.872958257713249,308,396,242.63
Tito's Handmade Vodka,3500,B,3925,1.07,1354,2.9,7.846037735849056,255,339,289.82
DK Burst Blustery Peppermint,8172,B,3909,0.71,1659,2.4,7.905405405405405,272,357,235.6
Leroux Blackberry Brandy,8171,B,3412,0.71,1550,2.2,7.6128266033254155,220,291,220.11
Bacardi Superior Rum,8130,B,3128,0.93,1297,2.4,8.026022304832713,218,287,241.21
Serpent's Bite Cider Whiskey,2704,B,3126,0.78,1416,2.2,7.574468085106383,262,327,220.83
Capt Morgan White,4113,B,3110,0.74,1450,2.1,7.647058823529412,177,242,214.54
Ciroc Apple Vodka,3783,B,3050,1.5,1008,3.0,6.882978723404255,245,303,302.49
Kinky Liqueur,5676,B,3009,1.42,1029,2.9,7.417737789203085,259,320,292.33
Smirnoff Sorbet Mango/Pasion,3300,B,2932,0.71,1437,2.0,8.020942408376964,209,273,204.05
Ryans Irish Cream,5877,B,2871,0.62,1522,1.9,7.827848101265823,225,287,188.68
Jim Beam Apple,2792,B,2814,0.78,1343,2.1,8.23,420,483,209.52
Southern Comfort,5270,B,2466,1.55,892,2.8,7.866419294990724,225,278,276.49
Johnnie Walker Red Label,8092,B,2455,1.7,850,2.9,7.867724867724868,189,242,288.91
Amaretto DiSaronno,5316,B,2408,1.83,811,3.0,7.886,174,226,296.87
Crown Royal Mini,2465,B,2316,2.15,734,3.2,7.738944365192582,190,239,315.58
Tanqueray,8101,B,2298,1.47,884,2.6,7.6967592592592595,147,195,259.93
After Shock Hot & Cool Cinmn,5457,B,2247,1.54,854,2.6,7.874396135265701,187,235,263.07
Kinky Blue Liqueur,6081,B,2153,1.46,859,2.5,7.458410351201478,192,236,250.73
Malibu Rum,5739,B,1990,1.53,806,2.5,7.763915547024952,185,227,246.77
Jack Daniels Tennessee Honey,1867,B,1982,2.15,679,2.9,7.534435261707989,149,190,291.93
Dewars White Label,2672,B,1960,1.8,738,2.7,8.05476673427992,148,191,265.63
Absolut Citron,3727,B,1899,1.47,804,2.4,7.840616966580977,134,175,236.29
J Roget Extra Dry,8475,B,1822,1.23,861,2.1,7.576100628930818,179,217,211.71
Knob Creek Bourbon,1355,B,1754,2.59,582,3.0,7.529485570890841,124,160,301.43
Makers Mark,1389,B,1745,2.18,633,2.8,7.6031195840554595,149,185,275.83
Stolichnaya,8788,B,1644,1.53,733,2.2,8.116564417177914,115,152,224.29
Grey Goose Vodka,3847,B,1612,2.81,536,3.0,7.693181818181818,184,218,300.99
Ketel One Vodka,3547,B,1581,2.2,599,2.6,7.631410256410256,130,163,263.75
Jack Daniels No 7 Black,1295,B,1564,2.89,520,3.0,7.551020408163265,146,178,300.66
Capt Morgan Spiced Rum,4736,B,1513,2.14,595,2.5,7.639257294429708,104,136,254.47
Godiva Chocolate Liqueur,5872,B,1448,2.32,559,2.6,7.720508166969147,130,161,259.2
Bombay Sapphire Gin,3345,B,1441,1.54,684,2.1,7.977728285077951,100,131,210.67
Casamigos Blanco,4413,B,1427,1.44,704,2.0,7.556768558951965,145,175,202.73
Fish Eye Chard,41712,B,1420,3.28,465,3.1,7.683602771362587,114,144,305.21
